"filename", "language", "XML", "JavaScript", "CSS", "comment", "blank", "total"
"d:\Proyecto-de-grado\client\src\App.jsx", "JavaScript", 0, 72, 0, 1, 11, 84
"d:\Proyecto-de-grado\client\src\App.test.js", "JavaScript", 0, 7, 0, 0, 2, 9
"d:\Proyecto-de-grado\client\src\Components\Aside.jsx", "JavaScript", 0, 120, 0, 5, 11, 136
"d:\Proyecto-de-grado\client\src\Components\Busqueda.jsx", "JavaScript", 0, 84, 0, 1, 5, 90
"d:\Proyecto-de-grado\client\src\Components\Footer.jsx", "JavaScript", 0, 89, 0, 1, 8, 98
"d:\Proyecto-de-grado\client\src\Components\ImageBanner.css", "CSS", 0, 0, 26, 0, 4, 30
"d:\Proyecto-de-grado\client\src\Components\ImageBanner.jsx", "JavaScript", 0, 26, 0, 1, 5, 32
"d:\Proyecto-de-grado\client\src\Components\Licencia.jsx", "JavaScript", 0, 62, 0, 0, 3, 65
"d:\Proyecto-de-grado\client\src\Components\NavBar.jsx", "JavaScript", 0, 264, 0, 4, 12, 280
"d:\Proyecto-de-grado\client\src\Components\NavListDrawer.jsx", "JavaScript", 0, 98, 0, 0, 20, 118
"d:\Proyecto-de-grado\client\src\Pages\FilePage.jsx", "JavaScript", 0, 150, 0, 2, 9, 161
"d:\Proyecto-de-grado\client\src\Pages\Home.jsx", "JavaScript", 0, 211, 0, 6, 11, 228
"d:\Proyecto-de-grado\client\src\Pages\Login.jsx", "JavaScript", 0, 104, 0, 3, 3, 110
"d:\Proyecto-de-grado\client\src\Pages\ProtectedRoute.jsx", "JavaScript", 0, 9, 0, 0, 3, 12
"d:\Proyecto-de-grado\client\src\Pages\Register.jsx", "JavaScript", 0, 172, 0, 26, 10, 208
"d:\Proyecto-de-grado\client\src\Pages\RegisterAuthor.jsx", "JavaScript", 0, 195, 0, 9, 26, 230
"d:\Proyecto-de-grado\client\src\Pages\RegisterFile.jsx", "JavaScript", 0, 158, 0, 5, 19, 182
"d:\Proyecto-de-grado\client\src\Pages\ViewFile.jsx", "JavaScript", 0, 50, 0, 0, 6, 56
"d:\Proyecto-de-grado\client\src\api\auth.js", "JavaScript", 0, 4, 0, 0, 3, 7
"d:\Proyecto-de-grado\client\src\api\authors.js", "JavaScript", 0, 7, 0, 0, 3, 10
"d:\Proyecto-de-grado\client\src\api\axios.js", "JavaScript", 0, 6, 0, 0, 3, 9
"d:\Proyecto-de-grado\client\src\api\carreras.js", "JavaScript", 0, 2, 0, 0, 2, 4
"d:\Proyecto-de-grado\client\src\api\tasks.js", "JavaScript", 0, 21, 0, 1, 8, 30
"d:\Proyecto-de-grado\client\src\context\AuthContext.jsx", "JavaScript", 0, 82, 0, 0, 8, 90
"d:\Proyecto-de-grado\client\src\context\AuthorsContext.jsx", "JavaScript", 0, 60, 0, 1, 8, 69
"d:\Proyecto-de-grado\client\src\context\TasksContext.jsx", "JavaScript", 0, 56, 0, 0, 9, 65
"d:\Proyecto-de-grado\client\src\index.js", "JavaScript", 0, 48, 0, 0, 4, 52
"d:\Proyecto-de-grado\client\src\logo.svg", "XML", 1, 0, 0, 0, 0, 1
"d:\Proyecto-de-grado\client\src\reportWebVitals.js", "JavaScript", 0, 12, 0, 0, 2, 14
"d:\Proyecto-de-grado\client\src\setupTests.js", "JavaScript", 0, 1, 0, 4, 1, 6
"Total", "-", 1, 2170, 26, 70, 219, 2486
